ReqNum,ReqName,Approve_Begin_Date_UTC,Days,ApprovalStatus,ApproverName,BORGNAME
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-AP
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-GSTTest
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-Hema GST Test
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-HR_IT
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-India
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-INDIA-VCERM
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-IPS
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-test
1673-1088,Belliappa K S/1673-1088,12-04-2019 10:00:59,73,Awaiting Approval,Special Req app group MASTER,IN01-Testing_GST
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-150,Stefan Hansson (admare)/1673-150,17-05-2016 07:25:46,1133,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-154,Stefan Hansson (admare)/1673-154,19-05-2016 07:25:23,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-155,Stefan Hansson (admare)/1673-155,19-05-2016 07:49:42,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-156,Stefan Hansson (admare)/1673-156,19-05-2016 07:50:03,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-157,Stefan Hansson (admare)/1673-157,19-05-2016 07:50:17,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-10000
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-20000
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-30000
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-40000
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AE02-VCEME
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-AP
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-GSTTest
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Hema GST Test
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-HR_IT
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-India
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-INDIA-VCERM
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-IPS
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-test
1673-158,Stefan Hansson (admare)/1673-158,19-05-2016 07:50:24,1131,Awaiting Approval,EBD Test Special Req 1,IN01-Testing_GST
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-10000
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-20000
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-30000
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-40000
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-AE02-VCEME
